PID	Status	Label
562	0	com.apple.Dock.agent
10155	0	application.com.microsoft.VSCode.1169134.1169140
-	0	com.apple.parsec-fbf
452	0	com.apple.dmd
1729	0	com.apple.transparencyd
430	0	com.apple.AppSSOAgent
-	0	com.apple.mbuseragent
482	0	com.apple.security.cloudkeychainproxy3
411	0	com.apple.UserEventAgent-Aqua
661	0	com.apple.followupd
441	0	com.apple.identityservicesd
473	0	com.apple.telephonyutilities.callservicesd
-	0	com.apple.DwellControl
-	0	com.apple.XProtect.agent.scan
2338	0	com.apple.security.DiskUnmountWatcher
499	0	com.apple.CoreLocationAgent
414	0	com.apple.SecureBackupDaemon
-	0	com.apple.security.agent
-	0	com.apple.cfnetwork.AuthBrokerAgent
-	0	com.apple.multimodalsearchd
1843	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
553	0	com.apple.BTServer.cloudpairing
1951	0	com.apple.coreparsec.silhouette
476	0	com.apple.coreservices.sharedfilelistd
443	0	com.apple.pboard
-	0	com.apple.nowplayingtouchui
561	0	com.apple.MobileAccessoryUpdater.fudHelperAgent
-	0	com.apple.reversetemplated
-	0	com.apple.SafariCloudHistoryPushAgent
-	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
437	0	com.apple.rapportd
679	0	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.accounts.dom
-	0	com.apple.metadata.mdflagwriter
-	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
433	0	com.apple.containermanagerd
621	0	com.apple.SafeEjectGPUService
491	0	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
486	0	com.apple.preference.displays.MirrorDisplays
436	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
427	0	com.apple.accountsd
478	0	com.apple.cdpd
450	0	com.apple.routined
503	0	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
438	0	com.apple.BiomeAgent
-	0	com.apple.storelegacy
1528	0	com.apple.OSDUIHelper
605	0	com.apple.audio.AudioComponentRegistrar
505	0	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
445	0	com.apple.lockoutagent
-	0	com.apple.locationmenu
-	0	com.apple.videosubscriptionsd
541	0	com.apple.pbs
444	0	com.apple.notificationcenterui.agent
479	0	com.apple.protectedcloudstorage.protectedcloudkeysyncing
493	0	com.apple.imklaunchagent
-	0	com.apple.imcore.imtransferagent
-	0	com.apple.btsa
585	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
-	0	com.apple.EscrowSecurityAlert
1495	0	com.apple.metadata.mdwrite
602	0	application.com.adobe.CCXProcess.214528.214534
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
448	0	com.apple.CalendarAgent
-	0	com.apple.securityuploadd
-	0	com.apple.RapportUIAgent
504	0	com.apple.siriknowledged
-	0	com.apple.powerchime
465	0	com.apple.sharingd
-	0	com.apple.iCloudUserNotificationsd
-	0	com.apple.metrickitd
-	0	com.apple.storeassetd
475	0	com.apple.familycircled
652	0	application.com.adobe.accmac.214554.214560
-	0	com.apple.FontRegistryUIAgent
-	0	com.apple.RemoteManagementAgent
601	0	com.apple.TextInputSwitcher
2813	0	com.apple.AMPArtworkAgent
488	0	com.apple.imagent
589	0	com.maxon.mxnotify.agent
512	0	com.apple.sidecar-relay
1733	0	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
-	0	com.apple.imautomatichistorydeletionagent
564	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
-	0	com.apple.ATS.FontValidatorConduit
458	0	com.apple.talagent
529	0	com.apple.suggestd
-	0	com.apple.navd
-	0	com.apple.RemoteDesktop.agent
466	0	com.apple.iCloudNotificationAgent
594	0	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
-	0	com.apple.AssistiveControl
507	0	com.apple.icloud.fmfd
-	0	com.apple.mdworker.single.arm64
527	0	com.apple.FileProvider
418	0	com.apple.secd
457	0	com.apple.hiservices-xpcservice
2812	0	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
492	0	com.apple.assistantd
-	0	com.apple.studentd
-	0	com.apple.FollowUpUI
575	0	com.apple.videoconference.camera
-	0	com.apple.corespotlightservice
525	0	com.apple.uikitsystemapp
449	0	com.apple.controlstrip
1802	0	com.apple.mediaanalysisd
-	0	com.apple.DiskArbitrationAgent
-	0	com.apple.assessmentagent
-	0	com.apple.exchange.exchangesyncd
-	0	com.apple.testmanagerd
-	0	com.apple.dt.AutomationModeUI
1734	0	com.apple.scopedbookmarksagent.xpc
511	0	com.apple.ensemble
684	0	com.apple.ReportCrash
519	0	com.apple.biomesyncd
469	0	com.apple.UsageTrackingAgent
-	0	com.apple.email.maild
1210	0	application.com.adobe.AdobeCRDaemon.208933.208938
439	0	com.apple.donotdisturbd
-	0	com.apple.menuextra.battery.helper
1731	0	com.apple.Maps.mapspushd
-	0	com.apple.voicememod
-	0	com.apple.gamed
-	0	com.apple.STMUIHelper
416	0	com.apple.knowledge-agent
-	0	com.apple.midiserver
425	0	com.apple.backgroundtaskmanagementagent
-	0	com.apple.mobiledeviceupdater
-	0	com.apple.helpd
-	0	com.apple.quicklook.ui.helper
451	0	com.apple.wifi.WiFiAgent
-	0	com.apple.screensharing.MessagesAgent
-	0	com.apple.diskspaced
-	0	com.google.GoogleUpdater.wake
-	0	com.apple.passd
-	0	com.apple.DictationIM
-	0	com.apple.sociallayerd
-	0	com.apple.mdmclient.agent
13879	0	com.apple.iCloudHelper
509	0	com.apple.CharacterPicker.FileService
-	0	com.apple.cvmsCompAgent3425AMD_x86_64
-	0	com.apple.security.XPCKeychainSandboxCheck
2811	0	com.apple.podcasts.PodcastContentService
464	0	com.apple.CoreAuthentication.agent
474	0	com.apple.syncdefaultsd
-	0	com.apple.sidecar-display-agent
-	0	com.apple.accessibility.heard
579	0	com.apple.corespeechd
-	0	com.apple.AMPSystemPlayerAgent
422	0	com.apple.itunescloudd
-	0	com.apple.scrod
-	0	com.adobe.ccxprocess
1704	0	com.apple.spindump_agent
-	0	com.apple.AquaAppearanceHelper
-	0	com.apple.AuthenticationServicesCore.AuthenticationServicesAgent
-	0	com.apple.cvmsCompAgent_arm64
-	0	com.apple.bookdatastored
480	0	com.apple.security.keychain-circle-notification
-	0	com.apple.appstorecomponentsd
660	0	com.apple.icloud.findmydeviced.findmydevice-user-agent
-	0	com.apple.XProtect.agent.scan.startup
611	0	com.apple.amsengagementd
-	0	com.apple.AirPortBaseStationAgent
1727	0	com.apple.proactiveeventtrackerd
1952	0	com.apple.proactived
415	0	com.apple.universalaccessd
-	0	com.apple.accessibility.MotionTrackingAgent
-	0	com.apple.neagent
620	0	com.apple.SafariLaunchAgent
-	0	com.apple.idsfoundation.IDSRemoteURLConnectionAgent
-	0	com.apple.recentsd
477	0	com.apple.WiFiVelocityAgent
434	0	com.apple.usernoted
1847	0	com.apple.geodMachServiceBridge
-	0	com.apple.translationd
-	0	com.apple.AddressBook.abd
-	0	com.apple.ScreenReaderUIServer
-	0	com.apple.newsd
447	0	com.apple.contactsd
626	0	com.apple.swcd
588	0	com.apple.AirPlayUIAgent
-	0	com.apple.cvmsCompAgent_arm64_1
-	0	com.apple.dt.previewsd
-	0	com.apple.shazamd
502	0	com.apple.corespotlightd
-	0	com.apple.netauth.user.gui
-	0	com.apple.watchlistd
522	0	com.apple.xtyped
-	0	com.apple.TMHelperAgent
568	0	com.apple.Spotlight
1433	0	com.apple.appstoreagent
-	0	com.apple.AMPDevicesAgent
2455	0	com.apple.accessibility.mediaaccessibilityd
-	0	com.apple.cvmsCompAgent3425AMD_x86_64_1
1007	0	com.apple.mdworker.sizing
-	0	com.apple.SpeechRecognitionCore.brokerd
542	0	com.apple.metadata.mdbulkimport
-	0	com.apple.iokit.IOServiceAuthorizeAgent
-	0	com.apple.cvmsCompAgent3600_arm64
-	0	com.apple.WorkflowKit.ShortcutsViewService
-	0	com.apple.Safari.History
420	0	com.apple.carboncore.csnameddata
13893	0	com.apple.mdworker.shared.13000000-0200-0000-0000-000000000000
-	0	com.apple.cvmsCompAgent3600_x86_64
-	0	com.apple.speech.speechsynthesisd.arm64
-	0	com.apple.CoreRoutine.helperservice
408	0	com.apple.distnoted.xpc.agent
514	0	com.apple.geod
